Hanzi 汉字,Pinyin 拼音,Meaning
迟疑,chíyí,hesitate
持久,chíjiǔ,duration; enduring; lasting; persistent
赤道,chìdào,the equator
赤字,chìzì,(financial) deficit; red ink
冲动,chōngdòng,impulsive; act on impulse
冲击,chōngjī,attack; impact; a shock
冲突,chōngtū,conflict; clash
充当,chōngdāng,serve as; play the part of
充沛,chōngpèi,abundant; plentiful; vigorous
充实,chōngshí,substantial; rich; enrich; substantiate
充足,chōngzú,adequate; sufficient; abundant
重叠,chóngdié,to overlap
崇拜,chóngbài,worship; adore
崇高,chónggāo,lofty; sublime
崇敬,chóngjìng,revere; admire; veneration
稠密,chóumì,dense; thick
筹备,chóubèi,make preparations; get ready for something
丑恶,chǒu'è,ugly; repulsive; odiousness
出路,chūlù,a way out; outlet
出卖,chūmài,sell; betray; sell out
出身,chūshēn,family background; class origin
出神,chū shén,be lost in thought; entranced; preoccupation; Trance (music genre)
出息,chūxi,future prospects; aspiration; promise
初步,chūbù,initial; preliminary; tentative
除,chú,besides; except; remove; to divide (mathematics)
处分,chǔfèn,punish; punishment; discipline; disposal
处境,chǔjìng,plight; unfavorable situation
处置,chǔzhì,to handle; take care of; punish
储备,chǔbèi,reserves; store up
储存,chǔcún,stockpile; to store
储蓄,chǔxù,to save; to deposit
触犯,chùfàn,offend; violate
川流不息,chuān liú bù xī,(saying) flowing of an endless stream
穿越,chuānyuè,pass through; cut across
传达,chuándá,convey; transmit; communicate
传单,chuándān,leaflet; flier; pamphlet
传授,chuánshòu,impart; pass on; teach
船舶,chuánbó,ships; boats; watercraft
喘气,chuǎnqì,to pant; gasp for breath
串,chuàn,string together; conspire; gang up; mix up; bunch
床单,chuángdān,bed sheet
创立,chuànglì,to found; establish
创新,chuàngxīn,innovate; innovation
创业,chuàngyè,begin an undertaking; start a major task; start a company
创作,chuàngzuò,create; to produce; creative work
吹牛,chuī niú,to brag; (regional) to chat
吹捧,chuīpěng,flatter sb.; extol sb.'s accomplishments
炊烟,chuīyān,smoke from kitchen chimneys
垂直,chuízhí,perpendicular; vertical
锤,chuí,hammer; weight
纯粹,chúncuì,purely; pure
纯洁,chúnjié,pure; unadulterated; cleanse
慈善,císhàn,philanthropic; benevolent; charitable
慈祥,cíxiáng,a kindly person; benevolent (often of older people)
磁带,cídài,cassette tape
雌雄,cíxióng,male and female; winners and losers
次品,cìpǐn,defective or substandard products
次序,cìxù,sequence; order
伺候,cìhou,serve; wait upon; act as a valet
刺,cì,thorn; to sting; to prick; pierce; stab
从容,cóngróng,leisurely; calm
丛,cóng,crowd together; thicket; collection
凑合,còuhe,bring together; make do in a bad situation; improvise
粗鲁,cūlǔ,crude; coarse; rough; language
窜,cuàn,to flee; to escape; run away
摧残,cuīcán,to ruin; devastate; vandalize
脆弱,cuìruò,weak; fragile; flimsy; frail
搓,cuō,rub or roll between the hands or fingers; to twist
磋商,cuōshāng,discuss seriously; consult; negotiate
挫折,cuòzhé,setback; defeat; frustration
搭,dā,to erect; to build; travel by (car; plane; etc.); to hang; to join
搭档,dādàng,team up; cooperate; work together
搭配,dāpèi,pair up; arrange in pairs; to add sth. into a group; to suit
达成,dá chéng,to reach (an agreement); achieve
答辩,dábiàn,reply (to an accusation)
答复,dáfù,to answer; to reply
打包,dǎbāo,get a doggy bag (at a restaurant); pack up
打官司,dǎ guānsi,go to court
打击,dǎjī,to strike; to hit; to attack
打架,dǎ jià,to fight; scuffle; to come to blows
打量,dǎliang,take measure of; size up
打猎,dǎ liè,hunt; to go hunting
打仗,dǎzhàng,fight; go to war; fight a battle
大不了,dàbuliǎo,at the worst; if worst comes to worst; serious; alarming
大臣,dàchén,chancellor
大伙儿,dàhuǒr,everyone
大肆,dàsì,wantonly; without any constraint
大体,dàtǐ,in general; more or less; on the whole
大意,dàyì,main idea; general idea; gist
大致,dàzhì,more or less; roughly; approximately
歹徒,dǎitú,evil person who commits crimes; villain; gangster
代价,dàijià,price; cost; expense
代理,dàilǐ,acting (temporarily filling a position); agent
带领,dàilǐng,to guide; to lead
怠慢,dàimàn,to slight; give somebody a cold shoulder; treat somebody in a cold manner
逮捕,dàibǔ,to arrest; to capture
担保,dānbǎo,guarantee; vouch for
胆怯,dǎnqiè,timid; coward
诞辰,dànchén,birthday
诞生,dànshēng,be born; come into being
淡季,dànjì,off season; slow business season
淡水,dànshuǐ,fresh water; potable water (water with low salt content)
蛋白质,dànbáizhì,protein
当场,dāngchǎng,at the scene; on the spot
当初,dāngchū,at that time; at the outset; originally
当代,dāngdài,present day; contemporary
当面,dāng miàn,to sb.'s face; in sb.'s presence
当前,dāngqián,current; modern; present
当事人,dāngshìrén,persons involved or implicated; party (to an affair)
当务之急,dāngwùzhījí,the most pressing matter of the moment; a top priority task; urgent matter
当选,dāngxuǎn,be elected
党,dǎng,party; club; association
档案,dàng'àn,file; record; archive
档次,dàngcì,grade; quality; class; level
导弹,dǎodàn,guided missile; cruise missile
导航,dǎoháng,navigation
导向,dǎoxiàng,guidance; lead to; direct something towards
捣乱,dǎo luàn,cause a disturbance; look for trouble
倒闭,dǎobì,go bankrupt; close down
盗窃,dàoqiè,steal; pilfer
稻谷,dàogǔ,rice crops/paddy
得不偿失,dé bù cháng shī,the gains do not outweigh the losses
得力,délì,able; competent
得天独厚,détiāndúhòu,enjoy exceptional advantages; richly endowed by nature
得罪,dézuì,offend; a faux pas
灯笼,dēnglong,lantern
登陆,dēnglù,to land; come ashore; sign/log in
登录,dēnglù,sign-in
蹬,dēng,press down with the foot; step back or into something
等候,děnghòu,wait; queue
等级,děngjí,degree; rate
瞪,dèng,stare at; to glower
堤坝,dībà,dam; dyke
敌视,díshì,be hostile; adopt a negative attitude towards
抵达,dǐdá,arrive; to reach (a destination); touch down
抵抗,dǐkàng,resist; resistance
抵制,dǐzhì,resistance; refusal (to cooperate); boycott
地步,dìbù,condition; plight; extent
地势,dìshì,terrain; topography of a place
地质,dìzhì,geology
递增,dìzēng,increase step by step; steadily increase
颠簸,diānbǒ,shake; to jolt; bump
颠倒,diāndǎo,turn upside down; upend
典礼,diǎnlǐ,celebration; ceremony
典型,diǎnxíng,typical case; model
点缀,diǎnzhuì,decorate; an ornament; beautify; embellish; be the finishing touch
电源,diànyuán,electric power supply
垫,diàn,cushion; to pad; pay for somebody and expect to be repaid
惦记,diànjì,to remember with concern; to be concerned about; to think about; to keep thinking about; to worry about
奠定,diàndìng,establish; to found; to settle
叼,diāo,hold sth. in the mouth
雕刻,diāokè,carve; engrave; sculpt
雕塑,diāosù,sculpture; a statue; a Buddhist image
吊,diào,hang; suspend
调动,diàodòng,to transfer; to maneuver (troops; etc.)
跌,diē,to fall down; to drop
丁,dīng,male adult; robust; cubes (of food); T-shaped (4th Heavenly Stem)
叮嘱,dīngzhǔ,urge again and again; exhort; repeatedly warn
盯,dīng,to stare; to gaze
定期,dìngqī,regularly; at regular intervals
定义,dìngyì,definition
丢人,diū rén,lose face; be disgraced
丢三落四,diūsān làsì,forgetful; scatterbrained
东道主,dōngdàozhǔ,host for a party or conference
东张西望,dōngzhāngxīwàng,look in all directions; glance around
董事长,dǒngshìzhǎng,chairman of the board
动荡,dòngdàng,(social or political) turmoil; unrest; upheaval
动机,dòngjī,motive; motivation; intention
动静,dòngjìng,sound of activity; activity
动力,dònglì,power; motion; impetus; driving force
动脉,dòngmài,artery
动身,dòng shēn,go on a journey; leave
动手,dòngshǒu,get to work; to touch; strike a blow
动态,dòngtài,development; trend; dynamic state
动员,dòngyuán,mobilize
冻结,dòngjié,(loan; wage; price) freeze
栋,dòng,roof beam; (mw for buildings)
兜,dōu,pocket; bag; wrap up (in a piece of cloth); move around (in a circle); canvass (solicit); take responsibility
陡峭,dǒuqiào,steep; precipitous
斗争,dòuzhēng,to struggle; to fight for; to battle
督促,dūcù,supervise and urge sb. to complete a task
毒品,dúpǐn,drugs; narcotics; poison
独裁,dúcái,dictatorship
堵塞,dǔsè,block; stop
赌博,dǔbó,to gamble
杜绝,dùjué,put an end to
端,duān,end; beginning; extremity; carry holding something from the sides
端午节,Duānwǔ Jié,Dragon Boat Festival
端正,duānzhèng,upright; regular; proper; correct
短促,duǎncù,short in time duration; fleeting; brief
断定,duàndìng,conclude; determine; figure out
断绝,duànjué,sever; break off
堆积,duījī,pile up; accumulate
队伍,duìwu,ranks; troops
对策,duìcè,countermeasure for dealing with a situation
对称,duìchèn,symmetry
对付,duìfu,to handle; deal with
对抗,duìkàng,withstand; resist; antagonize
对立,duìlì,oppose; to counter
对联,duìlián,rhyming couplet; vertical written couplet usually placed along either side of a doorway
对应,duìyìng,corresponding; counterpart
对照,duìzhào,contrast; compare
兑现,duìxiàn,cash a check; honor a commitment
顿时,dùnshí,immediately; suddenly
多元化,duōyuánhuà,diversify; diversification
哆嗦,duōsuo,tremble; to shiver; to quiver
堕落,duòluò,morally degenerate; become depraved
额外,éwài,extra; added; additional
恶心,ěxin,disgusting; nauseous; make somebody embarrassed (èxīn: bad/vicious habit; vice)
恶化,èhuà,worsen; deteriorate
遏制,èzhì,keep within limits; contain; restrain; hold back
恩怨,ēnyuàn,grievance; old rivalry; mixture of gratitude and resentment
而已,éryǐ,that's all; nothing more
二氧化碳,èryǎnghuàtàn,carbon dioxide; CO2
发布,fābù,issue; announce; release
发财,fā cái,get rich
发呆,fādāi,stare blankly; daze off
发动,fādòng,to start; to launch; mobilize
发觉,fājué,discover; detect
发射,fāshè,to launch; to shoot (a projectile); to fire (a rocket)
发誓,fāshì,to vow; to pledge; swear
发行,fāxíng,publish; to issue; distribute
发炎,fāyán,become inflamed from infection or injury
发扬,fāyáng,develop; make full use of; to carry on
发育,fāyù,develop; growth
法人,fǎrén,legal entity (i.e.; a corporation)
番,fān,(mw for acts or deeds); foreign
凡是,fánshì,every; any; all; without exception
繁华,fánhuá,flourishing; bustling; prosperous
繁忙,fánmáng,busy; bustling
繁体字,fántǐzì,traditional Chinese character
繁殖,fánzhí,propagate; to breed; reproduce
反驳,fǎnbó,retort; refute
反常,fǎncháng,abnormal; unusual
反感,fǎngǎn,(strongly) dislike
反抗,fǎnkàng,resist; to revolt
反馈,fǎnkuì,feedback; send information back
反面,fǎnmiàn,the reverse side of sth.; opposite side of a topic
反射,fǎnshè,reflex; reflection (from a mirror; etc.)
反思,fǎnsī,think back over something that happened; to reflect; introspection
反问,fǎnwèn,ask a rhetorical question; answer a question with a question
反之,fǎnzhī,whereas...; on the other hand ...; conversely ...
泛滥,fànlàn,to be in flood; to overflow (the banks); to inundate; to spread unchecked
范畴,fànchóu,category
贩卖,fànmài,sell; peddle; (often derogatory) to traffic in
方位,fāngwèi,position; direction; points of the compass; bearing
方言,fāngyán,dialect
方圆,fāngyuán,circumference; neighborhood; vicinity
方针,fāngzhēn,policy; guidelines
防守,fángshǒu,to defend; protect; to guard
防御,fángyù,defense; resist; to guard
防止,fángzhǐ,prevent; protect; guard against; avoid
防治,fángzhì,prevent and cure
访问,fǎngwèn,to visit; call on; to interview
纺织,fǎngzhī,spinning and weaving; textile
放大,fàngdà,enlarge; amplify
放射,fàngshè,radiate; radioactive
飞禽走兽,fēiqínzǒushòu,birds and animals; the beasts of the field and the birds of the air
飞翔,fēixiáng,fly; hover
飞跃,fēiyuè,to leap
非法,fēifǎ,illegal
肥沃,féiwò,fertile
诽谤,fěibàng,slander; libel
肺,fèi,lung
废除,fèichú,abolish; annul; abrogate
废寝忘食,fèiqǐnwàngshí,to forget even sleeping and eating
废墟,fèixū,ruins
沸腾,fèiténg,to boil; boiling
分辨,fēnbiàn,distinguish; differentiate; resolve
分寸,fēncun,propriety; the limits of proper speech or action
分红,fēn hóng,a bonus; to award a bonus; to draw or recieve dividends; to share profits
分解,fēnjiě,to decompose; to resolve; to break down
分裂,fēnliè,split up; to divide; separate
分泌,fēnmì,secrete
分明,fēnmíng,clear; distinct; evidently; clearly
分歧,fēnqí,difference (of opinion/position）
分散,fēnsàn,to scatter; disperse; distribute
吩咐,fēnfù,instruct; instructions; to tell; to order (to do something)
坟墓,fénmù,tomb; sepulcher
粉末,fěnmò,fine powder; dust
粉色,fěnsè,pink
粉碎,fěnsuì,to crash; break up
分量,fènliàng,weight; heft; amount
愤怒,fènnù,angry; indignant; furious; anger; indignation; wrath; ire
丰满,fēngmǎn,plump; well developed; plentiful; Fengman district of Jilin City; Jilin Province
丰盛,fēngshèng,sumptuous; lavish
丰收,fēngshōu,bumper crop; have a good harvest
风暴,fēngbào,storm; violent commotion
风度,fēngdù,elegant demeanor; grace; poise; style
风光,fēngguāng,a natural scenic view; sight
风气,fēngqì,general mood; atmosphere; common practice
风趣,fēngqù,humor; wit; humorous
风土人情,fēngtǔrénqíng,local conditions (human and environmental)
风味,fēngwèi,local flavor; local style
封闭,fēngbì,to seal; to close; confine
封建,fēngjiàn,feudal; feudalism
封锁,fēngsuǒ,to blockade; to seal off
锋利,fēnglì,sharp (i.e. a knife blade); incisive; to the point
逢,féng,to meet; come upon
奉献,fèngxiàn,consecrate; dedicate; devote
否决,fǒujué,veto; reject; overrule
夫妇,fūfù,married couple; husband and wife
夫人,fūrén,lady; madam; Mrs.; wife
敷衍,fūyǎn,to elaborate (on a theme); to expound (the classics); to do sth. half-heartedly or just for show; barely enough to get by; perfunctory; apathetic; to skimp; to botch
服从,fúcóng,to obey; to comply
服气,fúqì,be convinced
俘虏,fúlǔ,captive; prisoner
符号,fúhào,symbol; mark; sign
幅度,fúdù,width; margin; extent
辐射,fúshè,radiation
福利,fúlì,material benefits; welfare; well-being
福气,fúqì,good fortune
抚摸,fǔmō,gently caress and stroke; to pet; to fondle
抚养,fǔyǎng,foster; bring up; raise
俯视,fǔshì,look down at; overlook
辅助,fǔzhù,assist; aide
腐败,fǔbài,corruption; corrupt; rotten
腐烂,fǔlàn,rot; become gangrenous
腐蚀,fǔshí,erode; corrode; corrupt; rusty
腐朽,fǔxiǔ,rotten; decayed; decadent; degenerate
负担,fùdān,to (bear a) burden; carry; a load
附和,fùhè,repeat an agreement; copy sb.'s action or words
附件,fùjiàn,attachment; enclosure
附属,fùshǔ,subsidiary; auxiliary; affiliate; attached
复活,fùhuó,resurrection
复兴,fùxīng,revive; restore
副,fù,vice-; secondary; auxiliary; deputy; assistant; classifier for pairs (i.e. glasses)
赋予,fùyǔ,confer upon; bestow; endow; entrust (a task)
富裕,fùyù,rich; to prosper; wealthy
腹泻,fùxiè,diarrhea
覆盖,fùgài,to cover
改良,gǎiliáng,improve; to reform
钙,gài,calcium
盖章,gàizhāng,affix one's seal; seal; stamp
干旱,gānhàn,drought; dry
干扰,gānrǎo,interfere; obstruction
干涉,gānshè,interfere; intervene; meddle
干预,gānyù,meddle; intervene; intervention
尴尬,gāngà,awkward; embarrassed
感慨,gǎnkǎi,lament; with a tinge of emotion or regret
感染,gǎnrǎn,infection; infect; influence
干劲,gànjìn,enthusiasm; energy; drive
纲领,gānglǐng,program; guiding principle
岗位,gǎngwèi,a post; a job
港口,gǎngkǒu,port; harbor
港湾,gǎngwān,harbor; estuary
杠杆,gànggǎn,lever; pry bar; crowbar; financial leverage
高超,gāochāo,excellent; superb
高潮,gāocháo,high tide; upsurge; climax; chorus (of a song)
高峰,gāofēng,peak; summit; apex
高明,gāomíng,brilliant; wise
高尚,gāoshàng,nobly; lofty
高涨,gāozhǎng,upsurge; (tensions; etc.) run high
稿件,gǎojiàn,rough draft of a document
告辞,gàocí,take leave; bid farewell
告诫,gàojiè,warn; admonish
疙瘩,gēda,swelling or lump on skin
鸽子,gēzi,dove; pigeon
搁,gē,to place; put aside
割,gē,to cut (apart/off)
歌颂,gēsòng,sing the praise of; extol; eulogize
革命,gémìng,revolution; revolutionary (politics); cause great social change; rise in revolt; take part in revolution
格局,géjú,structure; pattern
格式,géshì,form; specification; format
隔阂,géhé,estrangement; misunderstanding
隔离,gélí,insulate; separate; isolate
个体,gètǐ,individual
各抒己见,gèshūjǐjiàn,everyone gives their own view
根深蒂固,gēn shēn dì gù,deep-rooted; ingrained; inveterate (problem; etc.)
