Hanzi 汉字,Pinyin 拼音,Meaning
挨,āi,get close to; in sequence
癌症,áizhèng,cancer
爱不释手,àibúshìshǒu,love something too much to part with it
爱戴,àidài,love and respect
暧昧,àimèi,ambiguous; shady
安宁,ānníng,peaceful; calm; tranquil; composed
安详,ānxiáng,serene; composed
安置,ānzhì,find a place for; help settle down; arrange for
按摩,ànmó,massage
案件,ànjiàn,legal case; judicial case
案例,ànlì,(Law) case
暗示,ànshì,drop a hint; suggest
昂贵,ángguì,expensive; costly
凹凸,āotū,(of a surface) uneven; bumpy
熬,áo,endure; to boil
奥秘,àomì,mystery; enigma; profound; deep
巴不得,bābùdé,eagerly look forward to; earnestly wish; be only too anxious to
巴结,bājie,to fawn on; curry favor with
扒,bā,dig up; pull down; take off
疤,bā,scar
拔苗助长,bámiáozhùzhǎng,(literally) help shoots grow by pulling them out; spoil things by excessive enthusiasm
把关,bǎ guān,guard a pass; check on
把手,bǎshou,knob; handle; grip
罢工,bà gōng,to strike; go on strike
霸道,bàdào,overbearing; despotic hegemony; rule by force; (of liquor; medicine; etc.) strong
掰,bāi,break with both hands
摆脱,bǎituō,break away; free oneself from; cast off
败坏,bàihuài,ruin; corrupt; undermine
拜访,bàifǎng,pay a visit; call on
拜年,bài nián,congratulate the New Year; wish sb. a Happy New Year
拜托,bàituō,ask a favor; request; please!
颁布,bānbù,promulgate; to issue; publish (e.g a decree)
颁发,bānfā,issue; promulgate; award
斑,bān,variety; speckled; spot; colored patch; stripe
版本,bǎnběn,edition
半途而废,bàn tú ér fèi,give up halfway; leave sth. unfinished
扮演,bànyǎn,play the part of; act
伴侣,bànlǚ,companion; partner; mate
伴随,bànsuí,accompany; go with; follow
绑架,bǎngjià,kidnap; staking
榜样,bǎngyàng,example; model
磅,bàng,pound; weigh; scale
包庇,bāobì,to shield; to harbor; cover up
包袱,bāofu,bundle wrapped in cloth; cloth-wrapper
包围,bāowéi,surround; encircle; hem in
包装,bāozhuāng,to pack; package; make up
饱和,bǎohé,saturation
饱经沧桑,bǎojīngcāngsāng,experienced many changes
保管,bǎoguǎn,assure; take care of; surely
保密,bǎo mì,keep secret/confidential
保姆,bǎomǔ,nanny; housekeeper
保守,bǎoshǒu,conservative (ideas; estimates; politically; etc.); to guard; to keep
保卫,bǎowèi,defend; to safeguard
保养,bǎoyǎng,take good care of (or conserve) one's health; keep in good repair
保障,bǎozhàng,ensure; to guarantee; protect
保重,bǎozhòng,take care (of oneself)
报仇,bàochóu,retaliate; to revenge; avenge
报酬,bàochou,reward; remuneration
报答,bàodá,repay; requite
报复,bàofu,retaliate; revenge
报警,bàojǐng,report (an incident) to the police
报销,bàoxiāo,submit an expense account; apply for reimbursement; write off
抱负,bàofù,aspiration; ambition
暴力,bàolì,violence; (use) force
暴露,bàolù,expose; reveal; lay bare
曝光,bàoguāng,to expose; to make public
爆发,bàofā,break out; erupt; explode
爆炸,bàozhà,explode; explosion; blow up
卑鄙,bēibǐ,base; mean; despicable; contemptible; unprincipled
悲哀,bēi'āi,grieved; sorrowful; sad
悲惨,bēicǎn,miserable; tragic
北极,běijí,the North Pole
贝壳,bèiké,shell; conch; cowry
备份,bèifèn,to back up; a backup
备忘录,bèiwànglù,memorandum; aide-memoire; diplomacy memorandum; memorandum book
背叛,bèipàn,betray; forsake
背诵,bèisòng,recite
被动,bèidòng,passive
被告,bèigào,defendant
奔波,bēnbō,rush about; be busy running about
奔驰,bēnchí,run quickly; speed; Mercedes-Benz (German vehicle manufacturer)
本能,běnnéng,instinct
本钱,běnqián,capital (financial)
本人,běnrén,I; me; myself; oneself; in person
本身,běnshēn,itself; in itself; per se
本事,běnshi,ability; skill; capability; (-shì: this matter; literary source)
笨拙,bènzhuō,clumsy; awkward; stupid
崩溃,bēngkuì,collapse; crumble; fall apart
甭,béng,need not; (contraction of 不 and 用)
迸发,bèngfā,burst forth; burst out
蹦,bèng,jump; bounce; hop
逼迫,bīpò,to force; compel; coerce
鼻涕,bítì,nasal mucus; snivel
比方,bǐfang,instance; analogy; example
比喻,bǐyù,metaphor; analogy; figure of speech
比重,bǐzhòng,proportion; specific gravity
鄙视,bǐshì,despise; disdain; look down upon
闭塞,bìsè,stop up; shelter from; hard to get to; unenlightened
弊病,bìbìng,malady; evil; malpractice; drawback
弊端,bìduān,malpractice; abuse; corrupt practice
臂,bì,arm
边疆,biānjiāng,border area; borderland; frontier; frontier region
边界,biānjiè,boundary; border
边境,biānjìng,frontier
边缘,biānyuán,edge; fringe; verge; brink
编织,biānzhī,to weave; to knit; to plait; to braid; to crochet
鞭策,biāncè,spur on; urge on
贬低,biǎndī,to belittle; depreciate; disparage
贬义,biǎnyì,negative connotation; derogatory sense
扁,biǎn,flat
变故,biàngù,unforeseen event; accident
变迁,biànqiān,changes; vicissitude
变质,biàn zhì,go bad; deteriorate; metamorphism
便利,biànlì,convenient; easy; facilitate
便条,biàntiáo,informal note
便于,biànyú,be easy; be convenient for
遍布,biànbù,to cover the whole (area); found everywhere; spread all over
辨认,biànrèn,distinguish; identify; recognize
辩护,biànhù,speak in defense of; argue in favor of; defend
辩解,biànjiě,explain; justify; defend (a point of view; etc.)
辩证,biànzhèng,investigate; dialectical
辫子,biànzi,plait; braid; pigtail
标本,biāoběn,specimen; sample; the root cause and symptoms of a disease
标记,biāojì,sign; mark; symbol
标题,biāotí,title; header; headline; caption
表决,biǎojué,decide by vote; vote
表态,biǎotài,make known one's position; declare where one stands
表彰,biǎozhāng,cite (in dispatches); commend
憋,biē,hold in (urine); hold (breath); choke
别墅,biéshù,villa
别致,biézhì,unique; unconventional; fancy
别扭,bièniu,awkward; unnatural
濒临,bīnlín,on the verge of
冰雹,bīngbáo,hail
丙,bǐng,bright; fire (3rd Heavenly Stem)
并非,bìngfēi,really isn't
并列,bìngliè,stand side by side; be juxtaposed
拨,bō,to dial; move with a hand/foot; stir; poke; allocate (money)
波浪,bōlàng,wave
波涛,bōtāo,great waves; billows
剥削,bōxuē,to exploit
播种,bōzhǒng,sow seeds; sowing; seed
伯母,bómǔ,aunt; wife of father's older brother
博大精深,bódàjīngshēn,broad and profound
博览会,bólǎnhuì,(international) exhibition
搏斗,bódòu,fight; struggle; wrestle
薄弱,bóruò,weak; frail
补偿,bǔcháng,compensation; make up
补救,bǔjiù,remedy; repair
补贴,bǔtiē,subsidy; allowance
捕捉,bǔzhuō,catch; to seize
哺乳,bǔrǔ,breast-feeding; to suckle
不得已,bùdéyǐ,act against one's will; have no alternative
不妨,bùfáng,there is no harm in; might as well
不敢当,bù gǎndāng,(literally) I dare not accept the honor; you flatter me
不顾,búgù,in spite of; regardless of; to disregard
不禁,bùjīn,cannot help; can't refrain from
不堪,bùkān,cannot bear/stand; utterly
不可思议,bùkěsīyì,unimaginable; inconceivable
不愧,búkuì,be worthy of; deserve to be called; prove oneself to be
不料,búliào,unexpectedly; to one's surprise
不免,bùmiǎn,unavoidable
不时,bùshí,frequently; often; at any time
不惜,bùxī,to not hesitate; not spare
不相上下,bù xiāng shàng xià,equally matched; about the same
不像话,búxiànghuà,unreasonable; absurd; outrageous
不屑一顾,búxièyígù,not worth seeing; disdain as beneath contempt
不言而喻,bùyán'éryù,it goes without saying; it is self-evident
不由得,bùyóude,can't help; cannot but
不择手段,bùzéshǒuduàn,by fair means or foul
不止,bùzhǐ,incessantly; more than
布告,bùgào,notice; bulletin
布局,bùjú,arrangement; composition; layout
布置,bùzhì,arrange; decorate; decoration
步伐,bùfá,pace; (measured) step; march
部署,bùshǔ,dispose; deploy
部位,bùwèi,position; place
才干,cáigàn,ability; competence
财富,cáifù,wealth; riches; fortune
财务,cáiwù,financial affairs
财政,cáizhèng,public finances; financial
裁缝,cáifeng,tailor; dressmaker
裁判,cáipàn,judge; to referee; judgment
裁员,cáiyuán,cut staff; lay off employees
采购,cǎigòu,make purchases for an organization; go shopping
采集,cǎijí,gather; collect
采纳,cǎinà,accept; adopt
彩票,cǎipiào,lottery; lottery ticket
参谋,cānmóu,advisor; give advice
参照,cānzhào,consult a reference; refer to (another document)
残疾,cánji,deformity; handicapped; crippled
残酷,cánkù,cruel
残留,cánliú,to remain; be left over; surplus; remnant
残忍,cánrěn,brutal; bloody; merciless
灿烂,cànlàn,to glitter; brilliant; splendid
仓促,cāngcù,hurried
仓库,cāngkù,depot; storehouse; warehouse
苍白,cāngbái,pale; wan; pallid
舱,cāng,cabin; hold (of a ship or airplane)
操劳,cāoláo,work hard; look after
操练,cāoliàn,to drill; to practice
操纵,cāozòng,operate; control; manipulation
操作,cāozuò,operate; manipulate
嘈杂,cáozá,noisy; raucous
草案,cǎo'àn,draft (legislation; proposal; etc.)
草率,cǎoshuài,cursory; careless; negligent; sloppy; not serious
侧面,cèmiàn,side; profile; flank; face in profile
测量,cèliáng,to survey; to measure
策划,cèhuà,plot; scheme; bring about
策略,cèlüè,tactics; plot
层出不穷,céng chū bù qióng,(idiom) emerge more and more; innumerable succession; breeding like flies
层次,céngcì,level; rank order; standing; layer
差别,chābié,difference; disparity
插座,chāzuò,power socket
查获,cháhuò,investigate and capture a criminal; discover
岔,chà,fork in the road; turn off; diverge
刹那,chànà,an instant (Sanskrit: ksana); split second
诧异,chàyì,flabbergasted; astonished
柴油,cháiyóu,diesel fuel; kerosene
搀,chān,assist by the arm; mix; support; sustain
馋,chán,gluttonous; greedy
缠绕,chánrào,bind; wind; twirl; twist; intertwine
产业,chǎnyè,industry; estate; property
阐述,chǎnshù,expound (a position); elaborate (on a topic)
颤抖,chàndǒu,tremble; to shiver; to shake
昌盛,chāngshèng,prosperous
尝试,chángshì,to try; attempt
偿还,chánghuán,repay; reimburse
场合,chǎnghé,occasion; situation
场面,chǎngmiàn,scene; occasion
场所,chǎngsuǒ,location; place
敞开,chǎngkāi,open wide
畅通,chàngtōng,unimpeded; unclogged; free-flowing; straight path; to expedite
畅销,chàngxiāo,best seller; chart-topping; very marketable
倡导,chàngdǎo,to advocate; propose
倡议,chàngyì,suggest; propose
钞票,chāopiào,paper money; bill
超越,chāoyuè,surpass; exceed; transcend
巢穴,cháoxué,lair; nest; den; hideout
朝代,cháodài,dynasty; reign (of a king)
嘲笑,cháoxiào,jeer; mock; scoff
潮流,cháoliú,tide; current; trend
撤退,chètuì,retreat
撤销,chèxiāo,repeal
沉淀,chéndiàn,to precipitate (solid sediment out of a solution); to settle
沉闷,chénmèn,oppressive (of weather); heavy; depressed; not happy
沉思,chénsī,ponder; contemplate; meditation
沉重,chénzhòng,heavy; hard; serious
沉着,chénzhuó,calm and collected; not nervous
陈旧,chénjiù,old fashioned; outmoded; obsolete
陈列,chénliè,to display; to exhibit
陈述,chénshù,allegation; assertation; to declare; to state
衬托,chèntuō,to set off; serve as a foil to
称心如意,chènxīnrúyì,find sth. satisfactory
称号,chēnghào,title; term of address
成本,chéngběn,cost (manufacturing; production; etc.)
成交,chéngjiāo,complete a contract; clinch a deal; to seal
成天,chéngtiān,all day long; all the time
成效,chéngxiào,effect; result
成心,chéngxīn,intentional; deliberate; with prior intent
成员,chéngyuán,member
呈现,chéngxiàn,appear; emerge; present (a certain appearance)
诚挚,chéngzhì,sincere; cordial; earnest
承办,chéngbàn,undertake; accept an assignment
承包,chéngbāo,to contract (to undertake a job)
承诺,chéngnuò,to promise
城堡,chéngbǎo,castle
乘,chéng,to ride; to mount; make use of; multiply
盛,chéng; shèng,contain; to ladle; to fill | flourishing; grand; abundant
惩罚,chéngfá,penalty; punishment; to punish; to penalize
澄清,chéngqīng,(of liquid) settle; become clear; (Chem.) precipitate
橙,chéng,orange (color); orange (fruit; tree)
秤,chèng,balance; scale; steelyard
吃苦,chī kǔ,bear hardships; suffer
吃力,chīlì,strenuous; exhausted
迟钝,chídùn,slow (witted); stupid; dull
迟缓,chíhuǎn,slow; sluggish
