Hanzi 汉字,Pinyin 拼音,Meaning
吧,ba,particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)
白,bái,white; snowy; pure; bright; empty (Kangxi radical 106)
百,bǎi,hundred
帮助,bāngzhù,help; assist; aid
报纸,bàozhǐ,newspaper
比,bǐ,compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks
别,bié,don't do something; don't | depart; | other; difference; distinguish
宾馆,bīnguǎn,guesthouse; hotel
长,cháng|zhǎng,long; length | grow; chief (Kangxi radical 168)
唱歌,chànggē,sing (a song)
出,chū,go out; occur
穿,chuān,to wear; put on; penetrate
次,cì,(mw for number of times of occurrence); nth; order
从,cóng,from; obey; observe
错,cuò,mistake; error; blunder; miss an opportunity
打篮球,dǎ lánqiú,play basketball
大家,dàjiā,everyone
到,dào,arrive (at a place); until (a time)
得,de,(complement particle)
等,děng,to wait; rank; equal; etc.
弟弟,dìdi,younger brother
第一,dìyī,first; number 1
懂,dǒng,understand; know
对,duì,correct; a pair; to face; be opposite; to; towards
房间,fángjiān,room
非常,fēicháng,extremely; extraordinary; very
服务员,fúwùyuán,waiter/waitress; server; attendant
高,gāo,high; tall (Kangxi radical 189)
告诉,gàosu,to tell; inform
哥哥,gēge,older brother
给,gěi,to give; to grant; (passive particle)
公共汽车,gōnggòng qìchē,(public) bus
公司,gōngsī,company; corporation
贵,guì,expensive; noble; honorable; Guizhou province (abbreviation)
过,guò,to pass; to cross; go over; (indicates a past experience)
还,hái,still; yet; in addition; even
孩子,háizi,child; children; son or daughter
好吃,hǎochī,tasty
黑,hēi,black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)
红,hóng,red; symbol of success; bonus; popular
火车站,huǒchēzhàn,train station
机场,jīchǎng,airport; airfield
鸡蛋,jīdàn,(chicken) egg
件,jiàn,(mw for things, clothes, and items)
教室,jiàoshì,classroom
姐姐,jiějie,older sister
介绍,jièshào,to introduce; recommend; introduction
进,jìn,enter; come in
近,jìn,near; close (to)
就,jiù,then; at once; just; only; with regard to
觉得,juéde,feel; think
咖啡,kāfēi,coffee
开始,kāishǐ,begin; to start; beginning
考试,kǎoshì,test; exam; to give or take a test
可能,kěnéng,possible; maybe
可以,kěyǐ,can; may; possible; okay
课,kè,class; subject; lesson; course
快,kuài,fast; quick; swift
快乐,kuàilè,happy
累,lèi,tired
离,lí,leave; depart; go away; apart from
两,liǎng,two; 2; both; (unit of weight equal to 50 grams)
零,líng,zero; remnant
路,lù,road; path; journey; route
旅游,lǚyóu,trip; journey; tour
卖,mài,to sell
慢,màn,slow
忙,máng,busy
每,měi,each; every
妹妹,mèimei,younger sister
门,mén,door; opening; gate (Kangxi radical 169)
面条,miàntiáo,noodles
男,nán,male
您,nín,you (polite)
牛奶,niúnǎi,cow's milk
女,nǚ,woman; female (Kangxi radical 38)
旁边,pángbiān,side, beside
跑步,pǎobù,to run; to jog
便宜,piányi,cheap
票,piào,ticket; bank note; a vote
妻子,qīzi,wife
起床,qǐ chuáng,get out of bed
千,qiān,one thousand
铅笔,qiānbǐ,pencil
晴,qíng,clear; fine (as of weather)
去年,qùnián,last year
让,ràng,ask; let; yield
日,rì,sun; day; date; time (Kangxi radical 72)
上班,shàngbān,go to work; be on duty
身体,shēntǐ,health; (human) body
生病,shēngbìng,get sick; fall ill
生日,shēngrì,birthday
时间,shíjiān,time; period
事情,shìqing,matter; affair; thing; business
手表,shǒubiǎo,wristwatch
手机,shǒujī,mobile (cell) phone
说话,shuōhuà,to talk; speak
送,sòng,deliver; to carry; to give; send
虽然,suīrán,although; even though
但是,dànshì,but; however
它,tā,it
踢足球,tīzúqiú,to play football/soccer
题,tí,topic; subject; question on a test or assignment
跳舞,tiàowǔ,to dance
外,wài,outer; outside; in addition; foreign
完,wán,to finish; be over; complete
玩,wán,to play; have a good time; visit; enjoy
晚上,wǎnshang,evening; night
往,wǎng,to go (in a direction); towards; in the past
为什么,wèishénme,why?; for what reason?
问,wèn,ask; inquire
问题,wèntí,question; problem
西瓜,xīguā,watermelon
希望,xīwàng,to hope; wish for; to desire
洗,xǐ,to wash; bathe
小时,xiǎoshí,hour
笑,xiào,to laugh; to smile
新,xīn,new; Xinjiang autonomous region (abbreviation)
姓,xìng,surname; family name
休息,xiūxi,to rest; take a break
雪,xuě,snow
颜色,yánsè,color
眼睛,yǎnjing,eye
羊肉,yángròu,mutton; lamb
药,yào,medicine; drug; cure; chemical
要,yào,to want; to need; will/shall; important
也,yě,also; too
一起,yìqǐ,together; in the same place
一下,yíxià,a little bit/while; one time; once
已经,yǐjing,already
意思,yìsi,meaning; idea; opinion
因为,yīnwèi,because
所以,suǒyǐ,so; therefore; as a result
阴,yīn,cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade
游泳,yóuyǒng,to swim
右边,yòubian,the right (as opposed to left) side
鱼,yú,fish (Kangxi radical 195)
远,yuǎn,far; distant; remote
运动,yùndòng,(physical) exercise; movement; sports; campaign
再,zài,again; once more
早上,zǎoshang,(early) morning
丈夫,zhàngfu,husband; man
找,zhǎo,try to find; look for; seek; to give change
着,zhe,-ing (indicating action in progress)
真,zhēn,real; true; genuine
正在,zhèngzài,in the process of (doing something); currently
知道,zhīdao,know; be aware of
准备,zhǔnbèi,prepare; get ready
走,zǒu,to walk; to go; to move (Kangxi radical 156)
最,zuì,the most; -est; (indicator for superlative)
左边,zuǒbian,the left side; the left
